area_id,node,factor
9,MOK,1.0
19,MOK,1.0
40,MOK,1.0
44,MOK,1.0
54,MOK,1.0
56,MOK,1.0
63,MOK,1.0
64,MOK,1.0
80,MOK,1.0
81,MOK,1.0
95,MOK,1.0
100,MOK,1.0
101,MOK,1.0
115,MOK,1.0
117,MOK,1.0
119,MOK,1.0
152,MOK,1.0
154,MOK,1.0
1,OMR,1.0
2,OMR,1.0
4,OMR,1.0
15,OMR,1.0
18,OMR,1.0
31,OMR,1.0
33,OMR,1.0
34,OMR,1.0
41,OMR,1.0
49,OMR,1.0
53,OMR,1.0
57,OMR,1.0
60,OMR,1.0
61,OMR,1.0
65,OMR,1.0
66,OMR,1.0
69,OMR,1.0
70,OMR,1.0
74,OMR,1.0
76,OMR,1.0
79,OMR,1.0
82,OMR,1.0
84,OMR,1.0
85,OMR,1.0
86,OMR,1.0
90,OMR,1.0
91,OMR,1.0
102,OMR,1.0
103,OMR,1.0
107,OMR,1.0
113,OMR,1.0
128,OMR,1.0
132,OMR,1.0
137,OMR,1.0
156,OMR,1.0
5,SAC_NORTH,1.0
6,SAC_NORTH,1.0
24,SAC_NORTH,1.0
26,SAC_NORTH,1.0
27,SAC_NORTH,1.0
28,SAC_NORTH,1.0
30,SAC_NORTH,1.0
35,SAC_NORTH,1.0
38,SAC_NORTH,1.0
93,SAC_NORTH,1.0
97,SAC_NORTH,1.0
146,SAC_NORTH,1.0
147,SAC_NORTH,1.0
148,SAC_NORTH,1.0
3,SAC_SOUTH,1.0
7,SAC_SOUTH,1.0
10,SAC_SOUTH,1.0
13,SAC_SOUTH,1.0
14,SAC_SOUTH,1.0
16,SAC_SOUTH,1.0
17,SAC_SOUTH,1.0
20,SAC_SOUTH,1.0
21,SAC_SOUTH,1.0
22,SAC_SOUTH,1.0
23,SAC_SOUTH,1.0
39,SAC_SOUTH,1.0
46,SAC_SOUTH,1.0
68,SAC_SOUTH,1.0
72,SAC_SOUTH,1.0
73,SAC_SOUTH,1.0
77,SAC_SOUTH,1.0
78,SAC_SOUTH,1.0
83,SAC_SOUTH,1.0
87,SAC_SOUTH,1.0
88,SAC_SOUTH,1.0
89,SAC_SOUTH,1.0
94,SAC_SOUTH,1.0
96,SAC_SOUTH,1.0
99,SAC_SOUTH,1.0
121,SAC_SOUTH,1.0
122,SAC_SOUTH,1.0
124,SAC_SOUTH,1.0
125,SAC_SOUTH,1.0
126,SAC_SOUTH,1.0
127,SAC_SOUTH,1.0
144,SAC_SOUTH,1.0
145,SAC_SOUTH,1.0
159,SAC_SOUTH,1.0
160,SAC_SOUTH,1.0
161,SAC_SOUTH,1.0
162,SAC_SOUTH,1.0
163,SAC_SOUTH,1.0
164,SAC_SOUTH,1.0
8,SAC_WEST,1.0
42,SAC_WEST,1.0
92,SAC_WEST,1.0
98,SAC_WEST,1.0
123,SAC_WEST,1.0
141,SAC_WEST,1.0
158,SAC_WEST,1.0
11,SJR_EAST,1.0
12,SJR_EAST,1.0
25,SJR_EAST,1.0
36,SJR_EAST,1.0
43,SJR_EAST,1.0
45,SJR_EAST,1.0
58,SJR_EAST,1.0
75,SJR_EAST,1.0
105,SJR_EAST,1.0
106,SJR_EAST,1.0
108,SJR_EAST,1.0
114,SJR_EAST,1.0
116,SJR_EAST,1.0
120,SJR_EAST,1.0
143,SJR_EAST,1.0
149,SJR_EAST,1.0
150,SJR_EAST,1.0
151,SJR_EAST,1.0
153,SJR_EAST,1.0
155,SJR_EAST,1.0
157,SJR_EAST,1.0
29,SJR_WEST,1.0
32,SJR_WEST,1.0
37,SJR_WEST,1.0
47,SJR_WEST,1.0
48,SJR_WEST,1.0
50,SJR_WEST,1.0
51,SJR_WEST,1.0
52,SJR_WEST,1.0
55,SJR_WEST,1.0
59,SJR_WEST,1.0
62,SJR_WEST,1.0
67,SJR_WEST,1.0
71,SJR_WEST,1.0
104,SJR_WEST,1.0
109,SJR_WEST,1.0
110,SJR_WEST,1.0
111,SJR_WEST,1.0
112,SJR_WEST,1.0
118,SJR_WEST,1.0
129,SJR_WEST,1.0
130,SJR_WEST,1.0
131,SJR_WEST,1.0
133,SJR_WEST,1.0
134,SJR_WEST,1.0
135,SJR_WEST,1.0
136,SJR_WEST,1.0
138,SJR_WEST,1.0
139,SJR_WEST,1.0
140,SJR_WEST,1.0
142,SJR_WEST,1.0
165,SJR_WEST,1.0
166,SJR_WEST,1.0
167,SJR_WEST,1.0
168,SJR_WEST,1.0
169,SJR_EAST,1.0
170,SJR_EAST,1.0
171,SAC_NORTH,1.0
172,SJR_EAST,1.0
173,50_PA2,1.0
174,50_PA2,1.0
175,SJR_EAST,1.0
176,SAC_NORTH,1.0
177,OMR,1.0
178,SJR_EAST,1.0
179,SJR_EAST,1.0
180,MOK,1.0
181,OMR,1.0
182,SJR_EAST,1.0
183,OMR,1.0
184,OMR,1.0
185,SJR_EAST,1.0
186,SJR_EAST,1.0
187,SJR_EAST,1.0
188,SJR_EAST,1.0
189,SJR_EAST,1.0
190,SAC_SOUTH,1.0
191,50_PA2,1.0
192,50_PA2,1.0
193,SJR_EAST,1.0
194,SAC_NORTH,1.0
195,SAC_NORTH,1.0
196,SJR_EAST,1.0
197,SJR_EAST,1.0
198,SJR_EAST,1.0
199,SJR_EAST,1.0
200,SJR_EAST,1.0
201,SJR_EAST,1.0
202,50_PA2,1.0
203,50_PA2,1.0
204,SAC_NORTH,1.0
205,OMR,1.0
206,OMR,1.0
